google_doc_url,topic_id,slug,title,description,goal_id,goal_slug,status,sort_order,video_embed_code,action_items
/Users/nnavu/PycharmProjects/cmm-backend/scripts/input/topic_ingest/T1_Real_Cost_of_College/T1_Real_Cost_of_College_v2.docx.html,,real-cost-of-college,Real Cost of College,,,understanding-financial-aid-basics,published,1,,
/Users/nnavu/PycharmProjects/cmm-backend/scripts/input/topic_ingest/T2_Types_of_Financial_Aid_v2.docx/T2_Types_of_Financial_Aid_v2.docx.html,,types-of-financial-aid,Types of Financial Aid,,,understanding-financial-aid-basics,published,2,,
/Users/nnavu/PycharmProjects/cmm-backend/scripts/input/topic_ingest/T3_How_Need_Based_Aid_Is_Awarded_v2_3.docx/T3_How_Need_Based_Aid_Is_Awarded_v2_3.docx.html,,how-need-based-aid-is-awarded,How Need-Based Aid Is Awarded,,,applying-for-need-based-aid,published,1,,
/Users/nnavu/PycharmProjects/cmm-backend/scripts/input/topic_ingest/T4/T4_How_Merit_Aid_Is_Awarded_v3.docx.html,,how-merit-aid-is-awarded,How Merit Aid Is Awarded,,,assessing-your-aid-eligibility,published,1,,
